epochs,n_seeds,plateau60_mean,plateau60_sd,r2_holdout_mean,r2_testfold_mean
800,3,24.23106160759926,0.6596953349335818,0.7548297905859154,0.957700189766958
1100,3,23.774364292621613,0.6620850511251444,0.7878831852107724,0.9610012899352456
1700,3,23.945040392875672,0.7624213411179114,0.765630669432147,0.9661789193241274
