k8,k6,lr_stat
0.020000000000000004,0.12009103336104876,930.0068976621269
0.022440369086039275,0.1521307230407829,878.2058372365709
0.025178508235883353,0.20014451709770453,821.4612927327275
0.028250750892455084,0.2560089079168646,759.7189007764202
0.03169786384922227,0.3641767030794223,693.1121429718918
0.03556558820077846,0.45434399687932236,621.9867119427976
0.039905246299377604,0.6527085107783928,547.0837532280626
0.044774422771366805,0.880333259567371,469.54248137304563
0.050237728630191596,0.9102851945873804,391.0283480720522
0.05636765862528908,0.6327507847152323,313.9191078381297
0.0632455532033676,0.42415576262199095,241.36595771802834
0.0709626778467151,0.28071688649169224,176.6694171763193
0.07962143411069948,0.16826573602162465,122.56092841194713
0.08933671843019261,0.10703475817070318,80.04093617963035
0.10023744672545448,0.07283179572214249,48.29776482470445
0.11246826503806984,0.05261933721199985,25.93790215246016
0.12,0.04468418908770677,16.958530618087497
0.1225,0.042517814028144585,14.590654136199309
0.125,0.04054927610704895,12.484024527592197
0.1261914688960387,0.0396784833480337,11.565111666963677
0.1275,0.03875110054795172,10.615331935534703
0.13,0.03710456037211074,8.963129584400855
0.1325,0.035586939847236154,7.507702169647862
0.135,0.034186629167713534,6.2309687763025146
0.1375,0.03290669170367111,5.116347677980625
0.13999999999999999,0.03171798605550635,4.148700741009607
0.14158915687682763,0.03100800637610579,3.6036281888597537
0.1425,0.03061522375428649,3.3141696388166566
0.145,0.02959091166452943,2.6001393691931396
0.1475,0.02864220193383371,1.9951052755030187
0.15,0.027754528505303577,1.4885994510155327
0.1525,0.02693213385998039,1.071107799142643
0.155,0.026162118326049644,0.7339918513993247
0.1575,0.025438081090349618,0.4693976238046371
0.15886564694485633,0.025067758223636494,0.35291107551275913
0.16,0.024766001319985742,0.2702089577701267
0.1625,0.02413249226301173,0.12996872806872287
0.16499999999999998,0.023543060346606026,0.04282853558290111
0.16749999999999998,0.022978963681674847,0.003458242267916157
0.16999999999999998,0.02245275807489633,0.007069816785997975
0.1725,0.021954683080310566,0.04929554718381457
0.175,0.021483627567748353,0.12618696259444662
0.1775,0.021037858586533398,0.23416845757453228
0.17825018762674916,0.020910091442364998,0.2721390389414448
0.18,0.020621483004884977,0.369988665315111
0.1825,0.020221431597974515,0.5307054334516305
0.185,0.019843196087483195,0.7136567680894332
0.1875,0.019484096764149195,0.916436649205131
0.19,0.019143528172834046,1.136840944979905
0.1925,0.018820152721801486,1.3728893922835754
0.195,0.018510110144323022,1.6227825340066175
0.1975,0.018215983456399965,1.8848882941092433
0.2,0.017935378076885167,2.1577204244555435
0.2025,0.017665417634489478,2.4399457503469133
0.20500000000000002,0.01741083273512456,2.730330446685381
0.20750000000000002,0.017164520974969122,3.0277927691516178
0.21,0.01692935019635078,3.3313173656601007
0.2125,0.01670496346927597,3.639995285595501
0.215,0.016489167398627158,3.95300929424519
0.2175,0.016284328779016644,4.2696134376307855
0.22,0.016082254938056373,4.589118195876163
0.2225,0.015892536008257574,4.910924949109031
0.22440369086039275,0.015751732550736364,5.157168979844648
0.22499999999999998,0.015709318325962895,5.234474873220086
0.22749999999999998,0.015531793219678347,5.559266828477319
0.22999999999999998,0.015361754502282166,5.884841865135136
0.23249999999999998,0.015194813549081587,6.210796388885271
0.235,0.015038487726060756,6.5367507178590065
0.2375,0.014885990999017995,6.862378830643966
0.24,0.014741073149274309,7.187376724239611
0.2517850823588335,0.014110425708747432,8.703442742760195
0.28250750892455095,0.012850041786335531,12.435990102501588
0.31697863849222285,0.011864208997057979,16.13479037832732
0.3556558820077846,0.011078386296625053,19.67213512787395
0.399052462993776,0.01044496869393674,22.979642863534412
0.44774422771366806,0.009925710663948095,26.02626069406765
0.5023772863019162,0.009496605824752757,28.803977130655806
0.5636765862528911,0.009140828769351517,31.318478717524666
0.632455532033676,0.008837447607591864,33.58323985336581
0.709626778467151,0.008584879549650815,35.615722093464065
0.7962143411069947,0.008368702883191581,37.4351431375614
0.8933671843019266,0.008181529575515656,39.06084754860822
1.0023744672545452,0.008022667467272315,40.51158715100059
1.1246826503806984,0.007884205458998261,41.80503695935239
1.2619146889603867,0.007764956577611448,42.957528362577825
1.4158915687682763,0.007661547958238257,43.984007457167955
1.5886564694485636,0.007571098924292086,44.898000138631424
1.782501876267492,0.0074902133848298025,45.71170220117426
2.0,0.007420113730304934,46.436063685892705
