epoch,val_r2_mean,val_r2_sd,train_loss_mean
100,0.958292,0.019193,3.429572e-04
200,0.975838,0.008174,3.365650e-04
300,0.980437,0.006165,2.034958e-04
400,0.981078,0.007542,2.742611e-04
500,0.983321,0.00459,3.034511e-04
600,0.981181,0.009155,2.371600e-04
700,0.983488,0.005796,2.844941e-04
800,0.985313,0.004178,1.159067e-04
900,0.985222,0.004429,3.163834e-04
1000,0.986456,0.004191,1.374855e-04
1100,0.987047,0.004162,1.576194e-04
1200,0.987432,0.003338,1.319802e-04
1300,0.988369,0.00295,1.134554e-04
1400,0.988152,0.003343,1.780663e-04
1500,0.988254,0.003239,2.309220e-04
1600,0.989058,0.003058,1.389349e-04
1700,0.989295,0.003385,8.762166e-05
1800,0.98953,0.003208,9.367645e-05
1900,0.990135,0.003101,1.066626e-04
2000,0.990399,0.003333,1.137386e-04
2100,0.990848,0.003516,1.357367e-04
2200,0.990908,0.003855,6.705875e-05
2300,0.991182,0.003479,7.569472e-05
2400,0.990852,0.004386,1.035550e-04
2500,0.991183,0.003595,9.737657e-05
2600,0.991336,0.003323,1.536535e-04
2700,0.991341,0.004013,1.633039e-04
2800,0.991683,0.003419,9.096373e-05
2900,0.992022,0.002895,9.434501e-05
3000,0.992013,0.002922,7.835151e-05
